SUBDIVISION,YEAR,ANNUAL
andaman & nicobar islands,1901,3373.2000000000003
andaman & nicobar islands,1902,3520.7
andaman & nicobar islands,1903,2957.4
andaman & nicobar islands,1904,3079.5999999999995
andaman & nicobar islands,1905,2566.7
andaman & nicobar islands,1906,2534.4
andaman & nicobar islands,1907,3347.9
andaman & nicobar islands,1908,3576.3999999999996
andaman & nicobar islands,1910,2899.4
andaman & nicobar islands,1911,2687.2000000000003
andaman & nicobar islands,1912,2960.4999999999995
andaman & nicobar islands,1913,2365.8
andaman & nicobar islands,1914,2957.8
andaman & nicobar islands,1915,2741.3
andaman & nicobar islands,1916,2937.4999999999995
andaman & nicobar islands,1917,2612.4
andaman & nicobar islands,1918,3275.0
andaman & nicobar islands,1919,2352.1000000000004
andaman & nicobar islands,1920,2943.2
andaman & nicobar islands,1921,2606.3999999999996
andaman & nicobar islands,1922,3554.2
andaman & nicobar islands,1923,3052.2000000000003
andaman & nicobar islands,1924,2330.7
andaman & nicobar islands,1925,2480.5
andaman & nicobar islands,1926,3282.2000000000007
andaman & nicobar islands,1927,2442.9
andaman & nicobar islands,1928,2998.3
andaman & nicobar islands,1929,2926.6
andaman & nicobar islands,1930,3075.1000000000004
andaman & nicobar islands,1931,2357.7
andaman & nicobar islands,1932,553.3
andaman & nicobar islands,1933,2987.5000000000005
andaman & nicobar islands,1934,3722.7999999999997
andaman & nicobar islands,1935,3154.0000000000005
andaman & nicobar islands,1936,3038.7
andaman & nicobar islands,1937,3591.1
andaman & nicobar islands,1938,3264.4
andaman & nicobar islands,1939,2782.5000000000005
andaman & nicobar islands,1940,3007.5000000000005
andaman & nicobar islands,1941,2898.2
andaman & nicobar islands,1942,46.6
andaman & nicobar islands,1946,2791.6000000000004
andaman & nicobar islands,1947,2894.8
andaman & nicobar islands,1949,3489.6
andaman & nicobar islands,1950,2422.2000000000003
andaman & nicobar islands,1951,3275.1
andaman & nicobar islands,1952,3079.8999999999996
andaman & nicobar islands,1953,2722.0
andaman & nicobar islands,1954,3449.0
andaman & nicobar islands,1955,3349.6
andaman & nicobar islands,1956,3079.8999999999996
andaman & nicobar islands,1957,2507.2
andaman & nicobar islands,1958,2807.4
andaman & nicobar islands,1959,3343.3999999999996
andaman & nicobar islands,1960,3025.1
andaman & nicobar islands,1961,3938.2000000000003
andaman & nicobar islands,1962,2959.7000000000003
andaman & nicobar islands,1963,2981.7000000000003
andaman & nicobar islands,1964,3054.8
andaman & nicobar islands,1965,3163.9000000000005
andaman & nicobar islands,1966,2701.2000000000007
andaman & nicobar islands,1967,3216.6
andaman & nicobar islands,1968,2762.7999999999997
andaman & nicobar islands,1969,2619.2000000000003
andaman & nicobar islands,1970,3370.8999999999996
andaman & nicobar islands,1971,2998.7000000000003
andaman & nicobar islands,1972,3323.1000000000004
andaman & nicobar islands,1973,2991.0
andaman & nicobar islands,1974,2962.1
andaman & nicobar islands,1975,3085.5999999999995
andaman & nicobar islands,1976,3276.0
andaman & nicobar islands,1977,2388.2000000000003
andaman & nicobar islands,1978,2712.4
andaman & nicobar islands,1979,1849.2999999999997
andaman & nicobar islands,1980,3625.2999999999997
andaman & nicobar islands,1981,3074.7
andaman & nicobar islands,1982,2384.5
andaman & nicobar islands,1983,2792.5000000000005
andaman & nicobar islands,1984,2820.2999999999997
andaman & nicobar islands,1985,2630.7999999999997
andaman & nicobar islands,1986,2187.8999999999996
andaman & nicobar islands,1987,2763.9
andaman & nicobar islands,1988,3323.1
andaman & nicobar islands,1989,2533.7000000000003
andaman & nicobar islands,1990,2183.2
andaman & nicobar islands,1991,2535.6
andaman & nicobar islands,1992,2098.6
andaman & nicobar islands,1993,2237.3999999999996
andaman & nicobar islands,1994,3263.1000000000004
andaman & nicobar islands,1995,3115.4999999999995
andaman & nicobar islands,1996,2996.9
andaman & nicobar islands,1997,2755.1
andaman & nicobar islands,1998,2846.4
andaman & nicobar islands,1999,2699.7
andaman & nicobar islands,2000,2763.1
andaman & nicobar islands,2001,3080.8
andaman & nicobar islands,2002,2620.1
andaman & nicobar islands,2003,2355.7
andaman & nicobar islands,2004,2460.0
andaman & nicobar islands,2005,2954.5
andaman & nicobar islands,2006,2404.7
andaman & nicobar islands,2007,2748.2
andaman & nicobar islands,2008,3374.8999999999996
andaman & nicobar islands,2009,2538.6
andaman & nicobar islands,2010,3157.1000000000004
andaman & nicobar islands,2011,3828.0000000000005
andaman & nicobar islands,2012,3497.6
andaman & nicobar islands,2013,3757.7000000000003
andaman & nicobar islands,2014,2622.5
andaman & nicobar islands,2015,2904.5
arunachal pradesh,1916,3018.2
arunachal pradesh,1917,3599.0
arunachal pradesh,1918,5486.3
arunachal pradesh,1919,4693.900000000001
arunachal pradesh,1920,4106.7
arunachal pradesh,1921,5691.400000000001
arunachal pradesh,1922,4187.2
arunachal pradesh,1923,3507.5
arunachal pradesh,1924,4450.5
arunachal pradesh,1925,4439.8
arunachal pradesh,1926,3521.6000000000004
arunachal pradesh,1927,5253.200000000001
arunachal pradesh,1928,5272.700000000001
arunachal pradesh,1929,4320.1
arunachal pradesh,1930,4334.299999999999
arunachal pradesh,1931,4872.099999999999
arunachal pradesh,1932,4850.899999999999
arunachal pradesh,1933,3773.4
arunachal pradesh,1934,4575.6
arunachal pradesh,1935,4173.499999999999
arunachal pradesh,1936,4788.700000000001
arunachal pradesh,1937,3375.1
arunachal pradesh,1938,6129.1
arunachal pradesh,1939,3898.6
arunachal pradesh,1940,4099.5
arunachal pradesh,1941,4220.2
arunachal pradesh,1942,3828.2999999999997
arunachal pradesh,1943,4326.599999999999
arunachal pradesh,1944,3904.3
arunachal pradesh,1945,3649.2
arunachal pradesh,1946,4011.2000000000007
arunachal pradesh,1947,4369.099999999999
arunachal pradesh,1948,6331.1
arunachal pradesh,1949,4874.8
arunachal pradesh,1950,2391.2000000000003
arunachal pradesh,1951,3354.2999999999997
arunachal pradesh,1952,2396.1
arunachal pradesh,1953,2580.4000000000005
arunachal pradesh,1957,3776.0
arunachal pradesh,1958,5063.499999999999
arunachal pradesh,1959,4195.5
arunachal pradesh,1960,3709.3999999999996
arunachal pradesh,1961,3676.5
arunachal pradesh,1962,4752.4
arunachal pradesh,1963,4138.0
arunachal pradesh,1964,4959.299999999999
arunachal pradesh,1965,2196.7999999999997
arunachal pradesh,1966,2209.7000000000003
arunachal pradesh,1967,1668.5
arunachal pradesh,1968,2138.9
arunachal pradesh,1969,1877.8
arunachal pradesh,1970,1973.4
arunachal pradesh,1971,2184.6000000000004
arunachal pradesh,1972,2281.3000000000006
arunachal pradesh,1973,2457.6000000000004
arunachal pradesh,1974,3064.0
arunachal pradesh,1975,2213.4
arunachal pradesh,1976,2419.6
arunachal pradesh,1977,3774.4
arunachal pradesh,1978,2531.0
arunachal pradesh,1979,2773.7
arunachal pradesh,1980,3215.4000000000005
arunachal pradesh,1981,2790.8
arunachal pradesh,1982,2779.4
arunachal pradesh,1983,3335.1000000000004
arunachal pradesh,1984,3278.1
arunachal pradesh,1985,3266.4
arunachal pradesh,1986,2495.6
arunachal pradesh,1987,3433.2999999999993
arunachal pradesh,1988,4155.4
arunachal pradesh,1989,3281.7
arunachal pradesh,1990,3604.0999999999995
arunachal pradesh,1991,3434.5
arunachal pradesh,1992,2706.7999999999997
arunachal pradesh,1993,3348.899999999999
arunachal pradesh,1994,2287.2999999999997
arunachal pradesh,1995,3068.7999999999997
arunachal pradesh,1996,2520.6
arunachal pradesh,1997,2274.9000000000005
arunachal pradesh,1998,3616.7
arunachal pradesh,1999,2316.7000000000003
arunachal pradesh,2000,2596.9
arunachal pradesh,2001,2035.9
arunachal pradesh,2002,2389.3
arunachal pradesh,2003,2451.7
arunachal pradesh,2004,2545.7999999999997
arunachal pradesh,2005,2335.5000000000005
arunachal pradesh,2006,2259.399999999999
arunachal pradesh,2007,3020.6000000000004
arunachal pradesh,2008,2244.4999999999995
arunachal pradesh,2009,1750.0000000000002
arunachal pradesh,2010,2855.5999999999995
arunachal pradesh,2011,2193.5999999999995
arunachal pradesh,2012,3440.4999999999995
arunachal pradesh,2013,2042.8999999999999
arunachal pradesh,2014,2403.0999999999995
arunachal pradesh,2015,2767.5
assam & meghalaya,1901,2498.6999999999994
assam & meghalaya,1902,2952.1000000000004
assam & meghalaya,1903,2544.6000000000004
assam & meghalaya,1904,2664.2000000000003
assam & meghalaya,1905,2790.7000000000003
assam & meghalaya,1906,2663.1999999999994
assam & meghalaya,1907,2521.3
assam & meghalaya,1908,2277.8
assam & meghalaya,1909,2377.0
assam & meghalaya,1910,2887.2999999999997
assam & meghalaya,1911,3096.1000000000004
assam & meghalaya,1912,2743.4
assam & meghalaya,1913,2760.5
assam & meghalaya,1914,2343.9
assam & meghalaya,1915,3165.2000000000003
assam & meghalaya,1916,2601.0000000000005
assam & meghalaya,1917,2520.0
assam & meghalaya,1918,3106.7999999999997
assam & meghalaya,1919,2344.1
assam & meghalaya,1920,2623.7000000000003
assam & meghalaya,1921,2999.5
assam & meghalaya,1922,2262.0000000000005
assam & meghalaya,1923,2440.3999999999996
assam & meghalaya,1924,2691.6
assam & meghalaya,1925,2550.5
assam & meghalaya,1926,2511.6
assam & meghalaya,1927,2792.8999999999996
assam & meghalaya,1928,2634.1
assam & meghalaya,1929,2953.7999999999997
assam & meghalaya,1930,2550.8
assam & meghalaya,1931,2800.1
assam & meghalaya,1932,2888.6000000000004
assam & meghalaya,1933,2339.0999999999995
assam & meghalaya,1934,3074.8000000000006
assam & meghalaya,1935,2678.5
assam & meghalaya,1936,2671.2999999999997
assam & meghalaya,1937,2324.6000000000004
assam & meghalaya,1938,2786.5
assam & meghalaya,1939,2401.5
assam & meghalaya,1940,2451.7
assam & meghalaya,1941,2709.4
assam & meghalaya,1942,2677.1000000000004
assam & meghalaya,1943,2703.7999999999997
assam & meghalaya,1944,2524.3999999999996
assam & meghalaya,1945,2665.7
assam & meghalaya,1946,2679.5000000000005
assam & meghalaya,1947,2643.2
assam & meghalaya,1948,3185.5
assam & meghalaya,1949,2983.3
assam & meghalaya,1950,2392.4
assam & meghalaya,1951,2613.8999999999996
assam & meghalaya,1952,2851.2999999999993
assam & meghalaya,1953,2560.0
assam & meghalaya,1954,2859.2000000000003
assam & meghalaya,1955,2761.2000000000003
assam & meghalaya,1956,2802.9000000000005
assam & meghalaya,1957,2256.9999999999995
assam & meghalaya,1958,2626.5
assam & meghalaya,1959,2535.7000000000003
assam & meghalaya,1960,2342.2000000000003
assam & meghalaya,1961,2195.4
assam & meghalaya,1962,2296.0
assam & meghalaya,1963,2511.6999999999994
assam & meghalaya,1964,2729.7000000000003
assam & meghalaya,1965,2398.9000000000005
assam & meghalaya,1966,2789.3
assam & meghalaya,1967,2123.2999999999997
assam & meghalaya,1968,2530.8
assam & meghalaya,1969,2332.3
assam & meghalaya,1970,3048.5
assam & meghalaya,1971,2315.1
assam & meghalaya,1972,2379.1000000000004
assam & meghalaya,1973,2672.1
assam & meghalaya,1974,3403.6
assam & meghalaya,1975,2270.6
assam & meghalaya,1976,1955.9999999999998
assam & meghalaya,1977,2616.7000000000003
assam & meghalaya,1978,2011.8
assam & meghalaya,1979,2188.4
assam & meghalaya,1980,2289.2
assam & meghalaya,1981,2079.3
assam & meghalaya,1982,2382.3
assam & meghalaya,1983,2620.2
assam & meghalaya,1984,3156.8999999999996
assam & meghalaya,1985,2801.7
assam & meghalaya,1986,2592.7000000000003
assam & meghalaya,1987,2921.6000000000004
assam & meghalaya,1988,3261.7000000000003
assam & meghalaya,1989,2682.3
assam & meghalaya,1990,2771.2
assam & meghalaya,1991,2838.0
assam & meghalaya,1992,2259.7000000000003
assam & meghalaya,1993,2879.2
assam & meghalaya,1994,2121.3
assam & meghalaya,1995,2885.9999999999995
assam & meghalaya,1996,2466.7999999999997
assam & meghalaya,1997,2372.2000000000003
assam & meghalaya,1998,2803.100000000001
assam & meghalaya,1999,2594.1
assam & meghalaya,2000,2486.8
assam & meghalaya,2001,2178.6000000000004
assam & meghalaya,2002,2392.6
assam & meghalaya,2003,2434.2000000000003
assam & meghalaya,2004,2994.2
assam & meghalaya,2005,2468.2000000000003
assam & meghalaya,2006,1898.6999999999998
assam & meghalaya,2007,2752.6999999999994
assam & meghalaya,2008,2339.6
assam & meghalaya,2009,2068.2
assam & meghalaya,2010,2711.3999999999996
assam & meghalaya,2011,1743.5
assam & meghalaya,2012,2609.4
assam & meghalaya,2013,1816.5
assam & meghalaya,2014,2206.2
assam & meghalaya,2015,2471.0
naga mani mizo tripura,1901,2168.2999999999997
naga mani mizo tripura,1902,2174.9
naga mani mizo tripura,1903,2230.8999999999996
naga mani mizo tripura,1904,2519.6000000000004
naga mani mizo tripura,1905,2527.5
naga mani mizo tripura,1906,2514.5
naga mani mizo tripura,1907,2121.8
naga mani mizo tripura,1908,2319.2
naga mani mizo tripura,1909,2308.7999999999997
naga mani mizo tripura,1910,2268.1
naga mani mizo tripura,1911,2479.8
naga mani mizo tripura,1912,2308.9
naga mani mizo tripura,1913,2613.0999999999995
naga mani mizo tripura,1914,2529.1000000000004
naga mani mizo tripura,1915,2819.8999999999996
naga mani mizo tripura,1916,2554.9
naga mani mizo tripura,1917,2222.2000000000003
naga mani mizo tripura,1918,3013.2000000000003
naga mani mizo tripura,1919,2048.1
naga mani mizo tripura,1920,2375.7
naga mani mizo tripura,1921,2638.2
naga mani mizo tripura,1922,2462.7000000000003
naga mani mizo tripura,1923,2685.4999999999995
naga mani mizo tripura,1924,2701.6999999999994
naga mani mizo tripura,1925,2447.3999999999996
naga mani mizo tripura,1926,2463.2
naga mani mizo tripura,1927,2887.3
naga mani mizo tripura,1928,2472.4
naga mani mizo tripura,1929,2859.4
naga mani mizo tripura,1930,2487.4
naga mani mizo tripura,1931,2461.2000000000003
naga mani mizo tripura,1932,2761.8
naga mani mizo tripura,1933,2451.7999999999997
naga mani mizo tripura,1934,3040.8000000000006
naga mani mizo tripura,1935,2543.2999999999997
naga mani mizo tripura,1936,2917.2000000000003
